iter	Passed	Remaining
891	2204	266
892	2206	264
893	2208	261
894	2211	259
895	2213	256
896	2216	254
897	2218	251
898	2220	249
899	2222	246
900	2224	244
901	2226	241
902	2229	239
903	2231	236
904	2233	234
905	2236	232
906	2238	229
907	2240	227
908	2243	224
909	2245	222
910	2247	219
911	2250	217
912	2252	214
913	2254	212
914	2256	209
915	2258	207
916	2261	204
917	2263	202
918	2265	199
919	2268	197
920	2270	194
921	2272	192
922	2274	189
923	2277	187
924	2279	184
925	2281	182
926	2283	179
927	2286	177
928	2288	174
929	2290	172
930	2292	169
931	2295	167
932	2297	164
933	2299	162
934	2302	160
935	2304	157
936	2306	155
937	2309	152
938	2311	150
939	2313	147
940	2316	145
941	2318	142
942	2321	140
943	2324	137
944	2328	135
945	2330	133
946	2333	130
947	2335	128
948	2337	125
949	2341	123
950	2344	120
951	2346	118
952	2348	115
953	2351	113
954	2353	110
955	2356	108
956	2358	105
957	2361	103
958	2363	101
959	2365	98
960	2368	96
961	2370	93
962	2373	91
963	2375	88
964	2377	86
965	2379	83
966	2382	81
967	2384	78
968	2387	76
969	2389	73
970	2392	71
971	2395	68
972	2397	66
973	2399	64
974	2404	61
975	2407	59
976	2409	56
977	2412	54
978	2414	51
979	2418	49
980	2421	46
981	2424	44
982	2426	41
983	2428	39
984	2430	37
985	2434	34
986	2438	32
987	2441	29
988	2445	27
989	2447	24
990	2451	22
991	2454	19
992	2457	17
993	2460	14
994	2462	12
995	2468	9
996	2471	7
997	2473	4
998	2476	2
999	2478	0
